Molecule ChEMBL ID,Smiles,IC50(nM),Vina Affinity(kcal/mol),Vina RMSD l.b.,Vina RMSD u.b.,RMSD from initial,Document ChEMBL ID
CHEMBL426866,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(OCCN)ccc3N2)c(O)c2cccnc21,51,-7.6,0,0,1.818358858,
,,,-7.3,4.346,6.252,2.0787523,
,,,-7.1,2.789,4.195,1.441999375,
,,,-7,3.807,5.47,2.246722154,
,,,-6.9,3.948,5.672,1.372904875,
,,,-6.8,3.452,9.625,2.647248479,
,,,-6.7,4.215,5.96,1.969361483,
,,,-6.4,2.672,4.413,2.368442205,
,,,-6.3,4.591,7.816,1.762422503,
CHEMBL210158,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c(O)c2cccnc21,6,-7.7,0,0,1.677772982,
,,,-7.1,4.683,6.291,2.076179245,
,,,-7.1,2.423,3.164,1.437846745,
,,,-7.1,3.709,5.719,1.115557988,
,,,-7,4.3,5.616,2.283684463,
,,,-6.8,4.733,6.388,2.200736753,
,,,-6.8,2.478,3.97,1.544776968,
,,,-6.8,3.022,4.685,2.271172461,
,,,-6.8,2.034,3.84,1.777492732,
CHEMBL211874,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(OCC(N)=O)ccc3N2)c(O)c2cccnc21,16,-7.4,0,0,1.636329184,
,,,-7.4,3.521,5.197,0.66546325,
,,,-7.3,2.609,3.731,1.348153681,
,,,-7.2,2.853,9.328,2.396952314,
,,,-7.2,2.698,9.351,1.728308861,
,,,-7.1,4.36,5.955,2.131048408,
,,,-6.7,3.521,8.763,1.392340456,
,,,-6.7,3.58,8.835,1.802455909,
,,,-6.6,4.176,5.929,2.289460473,
CHEMBL212355,CCCCS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)NC(c1c(O)c3cccnc3n(CCC(C)C)c1=O)=N2,5,-8.2,0,0,2.094208766,
,,,-8,2.522,5.506,1.675007034,
,,,-7.9,3.285,3.708,2.08899006,
,,,-7.8,2.508,3.219,1.457962707,
,,,-7.7,1.978,2.281,1.855417293,
,,,-7.6,4.145,7.577,0.943315301,
,,,-7.6,3.103,5.746,2.052254313,
,,,-7.4,3.414,7.292,1.353467841,
,,,-7.4,3.684,6.44,2.172566813,
CHEMBL214084,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(OCC(=O)OC(C)(C)C)ccc3N2)c(O)c2cccnc21,5000,-7.2,0,0,1.917767749,
,,,-7,3.607,5.236,2.423533624,
,,,-6.9,2.532,3.84,1.509279382,
,,,-6.9,2.919,9.286,2.219439162,
,,,-6.9,3.077,9.145,1.106001107,
,,,-6.9,3.076,4.833,0.976193709,
,,,-6.8,4.204,6.139,2.028777549,
,,,-6.5,3.968,5.801,1.788959205,
,,,-6.5,3.253,8.438,1.632922835,
CHEMBL183046,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cccnc21,41,-7.2,0,0,1.791871598,
,,,-7.1,2.948,8.963,1.652387481,
,,,-7.1,3.095,9.287,2.202307285,
,,,-7.1,2.653,3.738,1.514504888,
,,,-7,2.897,9.196,1.622449243,
,,,-7,4.312,6.461,2.110272866,
,,,-6.9,2.715,3.729,2.359320921,
,,,-6.8,2.956,8.855,1.587694053,
,,,-6.7,4.687,7.929,1.506336425,
CHEMBL214015,CCCOc1ccc2c(c1)S(=O)(=O)NC(c1c(O)c3cccnc3n(CCC(C)C)c1=O)=N2,1620,-7.8,0,0,1.629640616,
,,,-7.4,3.588,5.533,1.197989501,
,,,-7.1,4.024,6.097,2.05513936,
,,,-7,4.672,6.135,2.10762973,
,,,-6.9,2.556,3.672,1.51705189,
,,,-6.9,2.01,2.958,2.444402819,
,,,-6.9,3.676,5.716,1.237163932,
,,,-6.8,2.995,9.412,2.173734208,
,,,-6.6,3.638,8.891,1.961555216,
CHEMBL211455,COc1ccc2c(c1)S(=O)(=O)NC(c1c(O)c3cccnc3n(Cc3ccccc3)c1=O)=N2,76,-7.8,0,0,1.745174138,
,,,-7.3,3.545,5.572,1.195286302,
,,,-7.1,4.165,6.226,2.111429568,
,,,-6.9,4.646,6.171,2.108911828,
,,,-6.8,2.497,3.646,1.532684951,
,,,-6.8,2.95,9.342,2.164781108,
,,,-6.5,4.435,5.624,2.295331091,
,,,-6.4,3.319,8.805,1.678982696,
,,,-6.3,4.286,5.92,1.201990997,
CHEMBL239976,COc1cccc2c1NC(c1c(O)c3cccnc3n(CCC(C)C)c1=O)=NS2(=O)=O,17580,-8.2,0,0,1.736348844,
,,,-7.2,3.817,6.01,1.057575158,
,,,-7.2,4.636,6.195,2.061876217,
,,,-7.1,4.166,5.663,2.422120965,
,,,-7,1.749,2.143,2.012719706,
,,,-7,1.58,3.414,1.825709016,
,,,-6.8,5.011,6.421,1.474812972,
,,,-6.8,3.627,9.26,1.79326599,
,,,-6.8,3.124,9.733,2.31224316,
CHEMBL212120,Cc1ccc2c(c1)S(=O)(=O)NC(c1c(O)c3cccnc3n(Cc3ccccc3)c1=O)=N2,25700,-8.2,0,0,1.76659686,
,,,-7.5,1.436,3.572,1.815956914,
,,,-7.2,3.58,5.347,0.898372423,
,,,-7.1,4.003,5.751,2.292061049,
,,,-7,2.683,3.911,1.440774535,
,,,-7,2.412,3.34,2.538887463,
,,,-6.9,3.666,9.284,2.015926389,
,,,-6.7,4.895,9.482,1.737933541,
,,,-6.6,3.491,9.074,1.743131434,
CHEMBL208997,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(OCC(=O)N(C)C)ccc3N2)c(O)c2cccnc21,70,-8.1,0,0,1.749882633,
,,,-7.4,1.43,3.757,1.843960475,
,,,-7.3,4.255,6.23,2.069968097,
,,,-7.1,4.051,5.618,2.392630842,
,,,-7,3.244,9.611,2.393475851,
,,,-7,4.723,6.347,1.276276223,
,,,-6.8,3.578,9.059,1.714923986,
,,,-6.7,4.559,6.401,1.532301112,
,,,-6.7,4.588,9.391,1.779243556,
CHEMBL212470,O=c1c(C2=NS(=O)(=O)c3cccc(Br)c3N2)c(O)c2cccnc2n1Cc1ccccc1,6200,-8.2,0,0,1.728125593,
,,,-7.5,1.285,3.198,2.166740623,
,,,-7.3,4.542,6.132,2.067427677,
,,,-7.1,2.338,3.033,1.583578694,
,,,-7,4.366,5.677,2.353191328,
,,,-6.9,2.445,3.361,2.306944416,
,,,-6.9,4.701,6.264,1.977366843,
,,,-6.9,3.701,9.29,1.76794771,
,,,-6.9,3.236,9.672,1.392176833,
CHEMBL377842,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NC(=O)C(F)(F)F)ccc3N2)c(O)c2cccnc21,70,-8.3,0,0,1.745895542,
,,,-7.5,1.305,3.289,2.121967332,
,,,-7.4,1.818,2.286,1.439887097,
,,,-7.2,3.616,5.33,0.921602739,
,,,-7.2,4.082,5.65,2.489448027,
,,,-7.2,4.573,6.209,2.030286144,
,,,-7.2,2.726,3.973,1.575292686,
,,,-6.8,2.866,9.556,2.134714427,
,,,-6.8,4.285,6.051,2.2599353,
CHEMBL212417,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(OCC(=O)O)ccc3N2)c(O)c2cccnc21,367,-8.2,0,0,1.72709432,
,,,-7.3,4.107,5.606,2.484174554,
,,,-7.2,3.593,5.289,0.918475021,
,,,-7.1,2.729,3.948,1.572146618,
,,,-7.1,4.648,6.17,2.033667265,
,,,-6.9,3.658,9.252,1.881732541,
,,,-6.9,3.085,9.656,2.410523265,
,,,-6.8,3.208,9.602,1.182031436,
,,,-6.7,4.902,9.485,1.8438042,
CHEMBL212470,O=c1c(C2=NS(=O)(=O)c3cccc(Br)c3N2)c(O)c2cccnc2n1Cc1ccccc1,1170,-8.2,0,0,1.704115927,
,,,-7.2,4.609,6.13,2.065115879,
,,,-7.1,2.75,3.935,1.571745254,
,,,-7.1,3.575,5.352,0.911445895,
,,,-7.1,4.838,6.21,2.441901598,
,,,-7,4.406,6.306,2.200766374,
,,,-7,2.471,3.364,2.364137636,
,,,-7,4.793,6.252,1.490574019,
,,,-6.9,3.123,9.602,2.302682592,
CHEMBL211874,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(OCC(N)=O)ccc3N2)c(O)c2cccnc21,46,-8.3,0,0,1.752810053,
,,,-7.4,1.836,2.379,1.444898759,
,,,-7.2,4.567,6.138,2.142200046,
,,,-7,2.689,3.904,1.530782757,
,,,-6.9,2.425,3.28,2.300510899,
,,,-6.9,4.695,6.243,1.990229892,
,,,-6.9,4.581,5.933,2.371605694,
,,,-6.8,2.915,4.65,2.183326939,
,,,-6.8,5.186,8.667,1.516932718,
CHEMBL213509,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(N)ccc3N2)c(O)c2cccnc21,310,-7.2,0,0,2.489909103,
,,,-7.1,2.352,4.73,2.143432456,
,,,-7.1,3.057,5.632,1.570149145,
,,,-7.1,1.202,3.588,1.209408772,
,,,-7,3.162,5.408,2.408559039,
,,,-6.9,1.869,2.034,2.303106185,
,,,-6.7,2.639,4.237,1.288435649,
,,,-6.6,4.104,9.94,1.462543958,
,,,-6.6,3.438,4.952,2.433487986,
CHEMBL212355,CCCCS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)NC(c1c(O)c3cccnc3n(CCC(C)C)c1=O)=N2,22,-7.2,0,0,1.763883134,
,,,-7.1,2.938,4.366,2.580452021,
,,,-7,2.04,4.016,2.137536234,
,,,-6.9,3.959,9.482,2.014291561,
,,,-6.8,2.811,4.001,2.087141023,
,,,-6.8,2.211,4.234,2.566797608,
,,,-6.7,1.313,1.889,1.66713059,
,,,-6.5,4.509,7.351,2.469128477,
,,,-6.5,3.815,9.239,1.335684879,
CHEMBL214015,CCCOc1ccc2c(c1)S(=O)(=O)NC(c1c(O)c3cccnc3n(CCC(C)C)c1=O)=N2,930,-7.3,0,0,2.334557819,
,,,-7.3,3.284,9.159,1.909161757,
,,,-7.1,3.774,8.805,1.358960726,
,,,-7,2.67,9.582,2.142690735,
,,,-6.9,2.771,9.768,1.987056028,
,,,-6.7,2.995,9.657,2.157596181,
,,,-6.7,3.149,8.279,1.877807233,
,,,-6.6,2.989,9.441,2.229844928,
,,,-6.4,2.449,8.929,1.63326316,
CHEMBL239977,COc1ccc2c(c1)S(=O)(=O)N=C(c1c(O)c3cccnc3n(CCC(C)C)c1=O)N2,65,-7,0,0,2.278407047,
,,,-6.9,3.21,9.16,1.545793067,
,,,-6.7,2.725,9.311,2.406757272,
,,,-6.7,1.923,4.031,1.922170421,
,,,-6.6,2.617,4.803,2.496371524,
,,,-6.5,2.709,9.735,1.892765389,
,,,-6.2,2.04,4.081,2.470824391,
,,,-6.1,2.61,4.725,2.190298797,
,,,-6,3.172,9.467,2.030417087,
CHEMBL378174,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(O)ccc3N2)c(O)c2cccnc21,42,-7.7,0,0,1.763717403,
,,,-7.1,1.496,3.548,1.909594137,
,,,-7,2.619,3.949,1.605468734,
,,,-7,4.534,6.176,2.033781296,
,,,-6.9,3.293,9.73,2.378023019,
,,,-6.9,3.788,9.274,1.884610121,
,,,-6.8,4.644,6.115,2.473577136,
,,,-6.7,2.064,2.967,2.446121747,
,,,-6.7,3.582,9.619,1.324293905,
CHEMBL239976,COc1cccc2c1NC(c1c(O)c3cccnc3n(CCC(C)C)c1=O)=NS2(=O)=O,1170,-7.7,0,0,1.762987946,
,,,-7.1,4.494,6.162,2.02804352,
,,,-7.1,2.613,3.931,1.605505088,
,,,-6.9,3.843,9.321,1.992574009,
,,,-6.9,1.695,3.315,1.790369446,
,,,-6.9,3.494,5.366,1.033165997,
,,,-6.8,2.57,3.445,2.347486296,
,,,-6.8,3.867,5.429,2.442925275,
,,,-6.5,3.315,9.702,1.874716914,
CHEMBL209633,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(OCc4ccccc4)ccc3N2)c(O)c2cccnc21,1490,-7,0,0,2.907615557,
,,,-7,2.677,9.599,2.110733043,
,,,-6.6,3.212,9.981,2.593010227,
,,,-6.5,2.036,3.235,2.616209238,
,,,-6.5,3.002,9.538,2.150996326,
,,,-6.3,3.466,9.48,2.442426879,
,,,-6.3,2.053,3.524,2.609208468,
,,,-6.2,2.376,4.628,2.720680999,
,,,-6.2,3.857,6.702,2.867809164,
CHEMBL379045,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(OCC#N)ccc3N2)c(O)c2cccnc21,25,-8,0,0,2.112495588,
,,,-7.7,3.02,4.834,1.565554747,
,,,-7.6,2.204,8.86,2.137421134,
,,,-7.6,1.746,3.831,2.729884032,
,,,-7.4,2.929,9.584,2.073971093,
,,,-7.4,2.692,9.565,3.006912148,
,,,-7.3,1.919,2.627,2.373669704,
,,,-7.2,1.785,2.3,1.517969602,
,,,-7.1,1.619,2.078,1.90269398,
CHEMBL209444,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NCC#N)ccc3N2)c(O)c2cccnc21,120,-7.9,0,0,1.429883613,
,,,-7.7,1.672,3.54,1.561573999,
,,,-7.5,4.722,6.04,1.769301305,
,,,-7.4,2.686,4.766,1.607687467,
,,,-7.2,4.835,9.7,1.691557976,
,,,-7.1,4.796,8.298,2.416136178,
,,,-7,2.612,2.89,0.858296732,
,,,-6.8,2.76,3.643,1.544542329,
,,,-6.5,3.326,5.064,1.615366332,
CHEMBL179943,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cccnc2n1Cc1ccccc1,5800,-7.8,0,0,1.438504162,
,,,-7.7,2.266,3.338,1.479870191,
,,,-7.5,1.071,3.277,1.56927166,
,,,-7.5,4.667,6.006,1.78400948,
,,,-7.4,2.703,4.675,1.895898935,
,,,-7.3,1.856,2.509,2.136536476,
,,,-7.3,4.938,9.557,1.533342504,
,,,-7.1,4.708,8.324,2.4168793,
,,,-7,5.317,6.671,1.639362596,
CHEMBL377240,O=c1c(C2=NS(=O)(=O)c3cc(Br)ccc3N2)c(O)c2cccnc2n1Cc1ccccc1,756,-8,0,0,2.089310467,
,,,-7.9,3.271,6.753,1.884606632,
,,,-7.6,3.073,7.53,1.374446431,
,,,-7.5,3.247,6.287,2.027658146,
,,,-7.5,3.074,7.284,1.374682202,
,,,-7.4,2.178,4.727,2.11436158,
,,,-7.4,3.676,6.079,1.452942477,
,,,-7.4,3.796,6.536,2.345096998,
,,,-7.4,3.153,7.55,2.170721658,
CHEMBL179943,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cccnc2n1Cc1ccccc1,83,-7.8,0,0,1.60653241,
,,,-7.7,3.281,7.958,1.414026028,
,,,-7.5,2.679,8.545,1.733933795,
,,,-7.5,3.142,8.601,0.746817508,
,,,-7.4,4.168,6.174,2.121561755,
,,,-6.9,1.252,1.653,1.825147988,
,,,-6.8,2.806,4.067,1.289930565,
,,,-6.6,2.819,3.521,2.194906532,
,,,-6.4,4.017,5.889,1.171540802,
CHEMBL213354,COc1ccc2c(c1)NC(c1c(O)c3cccnc3n(Cc3ccccc3)c1=O)=NS2(=O)=O,,-8.3,0,0,1.527960774,
,,,-8.1,4.261,5.087,1.348393731,
,,,-8.1,3.317,7.446,1.357037823,
,,,-8,2.557,8.017,1.756685703,
,,,-7.8,3.362,5.178,1.072206617,
,,,-7.8,3.445,7.503,1.962898536,
,,,-7.7,1.922,2.215,1.292693289,
,,,-7.6,2.637,8.226,1.508558339,
,,,-7.6,3.77,5.155,2.412246638,
CHEMBL211710,O=c1c(C2=NS(=O)(=O)c3ccc(O)cc3N2)c(O)c2cccnc2n1Cc1ccccc1,2510,-8.1,0,0,1.494402432,
,,,-7.8,3.431,8.143,1.403938737,
,,,-7.6,3.027,8.71,0.767418939,
,,,-7.5,4.395,6.117,2.118800159,
,,,-7.2,3.474,8.402,1.110550882,
,,,-7.1,2.884,8.962,2.241078679,
,,,-7,1.721,2.327,1.47269631,
,,,-6.9,3.234,8.395,1.911766386,
,,,-6.8,2.73,3.978,1.289500786,
CHEMBL211709,O=c1c(C2=NS(=O)(=O)c3cccc(O)c3N2)c(O)c2cccnc2n1Cc1ccccc1,8370,-7.8,0,0,2.276168238,
,,,-7.6,2.723,7.969,2.533209116,
,,,-7.6,3.715,5.872,2.624341586,
,,,-7.6,1.377,2.898,1.365817453,
,,,-7.5,2.156,7.499,2.582627823,
,,,-7.3,2.471,8.241,2.460719242,
,,,-7.3,2.815,8.115,0.994551865,
,,,-7.3,3.248,6.608,2.817641149,
,,,-7.2,1.937,4.358,2.777366965,
,,54,-8.6,0,0,1.864610822,
,,,-8.6,2.489,3.038,2.345338225,
,,,-8.5,1.248,1.679,1.449278281,
,,,-8.4,2.77,5.309,1.662515272,
,,,-8.3,2.224,2.838,0.854566942,
,,,-8.1,2.245,2.621,2.626638378,
,,,-8,1.679,4.471,1.33231593,
,,,-7.9,2.086,4.881,1.265068344,
,,,-7.9,2.818,5.209,2.47856893,
CHEMBL209444,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NCC#N)ccc3N2)c(O)c2cccnc21,24,-8.6,0,0,2.360758605,
,,,-8.6,2.544,3.102,1.909377987,
,,,-8.4,2.172,2.467,1.841818847,
,,,-8.4,2.748,4.907,1.697559951,
,,,-8.3,2.036,2.513,0.902134582,
,,,-8.2,1.874,2.331,2.425725123,
,,,-8.1,3.219,6.21,2.1165659,
,,,-8,2.773,3.364,1.885464945,
,,,-8,3.096,6.193,0.923838853,
CHEMBL211336,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(=O)(=O)C(C)C)ccc3N2)c(O)c2cccnc21,8,-8.5,0,0,2.00764886,
,,,-8.5,3.489,6.596,1.823268492,
,,,-8.4,2.202,2.694,1.915073118,
,,,-8.4,1.875,2.373,1.56785821,
,,,-8.2,3.821,6.729,1.189703666,
,,,-8.1,3.089,5.427,1.700176818,
,,,-8,3.761,6.884,2.048458004,
,,,-7.8,3.518,6.558,1.323787602,
,,,-7.7,3.486,6.22,1.586147221,
CHEMBL239977,COc1ccc2c(c1)S(=O)(=O)N=C(c1c(O)c3cccnc3n(CCC(C)C)c1=O)N2,1130,-9.1,0,0,1.854545308,
,,,-8.8,2.357,2.681,2.299926906,
,,,-8.8,2.01,2.436,2.509428502,
,,,-8.5,2.096,3.005,0.660731201,
,,,-8.5,2.02,2.938,1.670550012,
,,,-8.5,1.588,4.672,1.619682099,
,,,-8.4,2.93,5.716,1.303419791,
,,,-8.4,2.376,5.241,1.799564276,
,,,-8.4,1.548,4.539,2.044504866,
CHEMBL211408,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(=O)(=O)c4ccccc4)ccc3N2)c(O)c2cccnc21,41,-9.1,0,0,1.84914048,
,,,-8.9,2.006,2.265,2.501628608,
,,,-8.8,3.02,3.647,1.551366556,
,,,-8.5,1.739,2.667,1.284482614,
,,,-8.5,2.384,5.292,1.729378063,
,,,-8.5,1.585,4.664,1.611212201,
,,,-8.4,2.931,5.714,1.302919703,
,,,-8.4,1.975,2.911,1.637319401,
,,,-8.2,1.998,4.742,1.939791302,
CHEMBL378174,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(O)ccc3N2)c(O)c2cccnc21,390,-9.1,0,0,1.859992414,
,,,-8.9,2.133,2.941,2.422992303,
,,,-8.9,3.062,6.577,1.835480063,
,,,-8.8,3.007,7.593,0.550225638,
,,,-8.6,1.826,4.889,1.953005529,
,,,-8.6,1.792,2.387,2.849349584,
,,,-8.6,1.44,1.901,1.316159095,
,,,-8.5,2.922,5.704,1.896344094,
,,,-8.4,2.29,6.845,2.412791362,
CHEMBL211408,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(=O)(=O)c4ccccc4)ccc3N2)c(O)c2cccnc21,7,-9.2,0,0,0.726615586,
,,,-8.6,1.034,2.29,2.294408824,
,,,-8.6,1.907,2.486,1.594361173,
,,,-8.5,2.043,4.597,2.145501247,
