Molecule ChEMBL ID,Smiles,IC50(nM),Vina Affinity(kcal/mol),Vina RMSD l.b.,Vina RMSD u.b.,RMSD from initial,Document ChEMBL ID
,,,-4.8,3.221,5.372,1.336923064,
,,,-7.7,0,0,1.858210214,
,,,-7.3,4.703,5.788,1.607454285,
,,,-7.1,5.496,7.616,2.549104757,
,,,-7.1,5.222,6.975,2.087034135,
,,,-7,5.11,7.219,1.633123591,
,,,-7,5.315,7.509,1.515789541,
,,,-6.6,3.203,5.144,2.309630513,
,,,-6.5,5.511,7.98,2.136365176,
,,,-6.4,2.454,3.838,1.276750334,
,,,-7.9,0,0,1.79483225,
,,,-7.6,5.004,7.656,2.428642051,
,,,-7.6,4.693,5.688,1.598252509,
,,,-7.4,4.989,8.524,1.574429448,
,,,-7.3,4.892,6.826,2.507984004,
,,,-7.3,4.934,7.7,1.761324283,
,,,-7.3,5.278,8.316,1.531676417,
,,,-7.3,5.673,7.639,2.489593025,
,,,-7.1,5.34,7.397,1.547619833,
,,,-7.3,0,0,2.532249483,
,,,-7.3,4.094,8.508,1.705076286,
,,,-7.2,4.51,8.673,2.513636109,
,,,-7.1,3.118,4.121,1.535505595,
,,,-7.1,1.094,3.427,1.489827416,
,,,-6.6,4.323,8.554,1.493354193,
,,,-6.3,4.741,8.826,2.121815129,
,,,-6.2,3.235,4.478,1.559831225,
,,,-6.2,2.776,8.652,2.364563651,
,,,-7.7,0,0,2.107542159,
,,,-7.7,1.925,4.113,1.723480055,
,,,-7.6,4.766,7.589,2.176919248,
,,,-7.4,1.403,3.541,1.441516043,
,,,-7.3,2.836,9.052,1.209932344,
,,,-7.2,2.58,4.696,1.959247626,
,,,-7,3.642,7.914,2.319338744,
,,,-6.9,2.213,4.415,1.514969167,
,,,-6.8,4.218,7.525,1.411325259,
,,,-7.8,0,0,1.318060088,
,,,-7.6,2.484,7.259,1.456529858,
,,,-7.5,4.072,5.809,1.294370617,
,,,-7.3,4.502,6.811,2.181954738,
,,,-7.2,2.365,7.156,1.004299794,
,,,-7.1,2.31,3.139,2.223671726,
,,,-7.1,3.745,5.687,2.113968969,
,,,-7,2.811,4.719,1.974978763,
,,,-7,2.764,7.327,2.091556894,
,,,-7.5,0,0,2.061574001,
,,,-7.4,4.639,7.46,2.082293566,
,,,-7.2,4.411,7.005,2.114005189,
,,,-7,4.625,7.218,1.365589018,
,,,-6.9,4.669,6.912,1.142426051,
,,,-6.8,2.818,8.701,1.574172904,
,,,-6.6,4.186,5.619,2.089894572,
,,,-6.6,4.284,6.235,2.276618955,
,,,-6.5,4.755,6.557,1.61303933,
,,,-7.7,0,0,2.026436066,
,,,-7.7,4.612,7.368,2.102993294,
,,,-7.3,4.536,7.036,1.572490301,
,,,-7.2,4.679,6.887,1.128087412,
,,,-7.1,5.329,7.468,2.348646777,
,,,-6.9,4.329,6.247,1.586204784,
,,,-6.8,4.21,6.129,2.291569113,
,,,-6.8,1.679,2.742,1.517561816,
,,,-6.7,4.741,6.732,1.538533444,
,,,-7,0,0,1.732172144,
,,,-7,3.294,8.161,1.099907914,
,,,-6.9,4.713,7.339,1.594083722,
,,,-6.6,1.817,2.602,1.50589013,
,,,-6.5,3.33,7.991,1.660854164,
,,,-6.4,3.107,7.607,2.314269656,
,,,-6.4,3.416,8.597,2.216097343,
,,,-6.1,3.201,7.573,1.085141331,
,,,-6,3.165,7.412,1.660573233,
,,,-7.5,0,0,2.067889459,
,,,-7.3,4.46,6.945,1.736295405,
,,,-7.1,4.419,6.764,1.374938479,
,,,-6.9,4.584,6.619,1.090097806,
,,,-6.9,4.705,6.987,1.083235404,
,,,-6.9,3.653,4.928,1.316995632,
,,,-6.7,4.306,5.882,2.465995981,
,,,-6.7,4.166,7.926,0.814278517,
,,,-6.6,4.323,6.324,1.656823227,
,,,-7.9,0,0,1.735920561,
,,,-7.1,4.805,6.766,2.389567717,
,,,-6.9,4.771,7.923,1.501669654,
,,,-6.9,4.886,5.986,1.348785753,
,,,-6.9,2.882,4.098,1.474242489,
,,,-6.8,5.399,7.455,1.670045197,
,,,-6.6,5.314,7.913,1.598319276,
,,,-6.5,5.305,7.929,1.665727101,
,,,-6.3,5.504,9.833,1.627282336,
,,,-7.8,0,0,1.685739556,
,,,-7.4,4.771,8.528,1.258227408,
,,,-7.1,5.072,6.931,1.300943649,
,,,-7,5.411,7.267,1.677467913,
,,,-6.9,4.903,7.681,1.727382852,
,,,-6.9,4.892,7.671,1.719243017,
,,,-6.9,3.289,8.895,1.643758231,
,,,-6.7,3.141,5.078,2.338015587,
,,,-6.6,5.354,7.599,1.389134326,
,,,-7.9,0,0,1.641512278,
,,,-7.8,4.996,7.639,2.115680049,
,,,-7.5,5.092,7.067,1.037479297,
,,,-7.3,5.403,7.367,1.726031864,
,,,-7.2,5.003,7.947,1.678701462,
,,,-7,3.398,9.041,1.70597252,
,,,-7,5.392,7.703,1.76851207,
,,,-7,3.115,4.778,2.373644457,
,,,-6.8,4.707,6.553,2.303107972,
,,,-7.9,0,0,1.729153704,
,,,-7,5.671,7.571,2.424178755,
,,,-7,4.922,7.729,1.768931513,
,,,-6.9,3.385,9.011,1.709132785,
,,,-6.9,5.615,7.678,1.363567531,
,,,-6.9,2.172,3.437,1.629698575,
,,,-6.8,5.137,7.135,1.7030914,
,,,-6.8,3.032,4.853,2.319819476,
,,,-6.7,4.833,6.83,2.42154646,
,,,-7.9,0,0,1.731690655,
,,,-7.1,4.879,6.768,2.390851733,
,,,-7.1,5.737,7.581,2.406735752,
,,,-6.9,3.372,9.005,1.720688504,
,,,-6.9,5.379,7.301,1.784907536,
,,,-6.9,5.349,8.294,1.727277873,
,,,-6.8,5.303,7.743,1.766283951,
,,,-6.8,3.283,4.12,1.457258975,
,,,-6.8,5.141,7.065,1.963940982,
,,,-7.8,0,0,1.776672714,
,,,-7.4,4.831,8.519,1.187971288,
,,,-7.1,5.626,7.497,2.385222189,
,,,-7,5.536,7.589,1.361232151,
,,,-7,2.977,4.86,2.393770741,
,,,-6.9,5.316,7.222,1.736140318,
,,,-6.8,5.353,8.275,1.702422253,
,,,-6.7,2.241,3.526,1.46801258,
,,,-6.6,2.873,4.217,0.954263678,
,,,-7.8,0,0,1.727772223,
,,,-7.1,4.756,6.736,2.388467089,
,,,-7,4.616,5.737,1.450025394,
,,,-7,4.856,7.615,1.839850131,
,,,-7,4.973,8.633,1.260299268,
,,,-7,5.531,7.434,2.373760313,
,,,-6.9,5.373,7.388,1.749682803,
,,,-6.9,3.401,9.027,1.703716827,
,,,-6.9,3.107,4.971,2.373607568,
,,,-7.8,0,0,1.757959946,
,,,-7.1,5.15,7.791,1.683651266,
,,,-7.1,4.895,7.008,1.034296619,
,,,-7,5.524,7.58,2.367441264,
,,,-7,4.686,8.629,1.252616551,
,,,-6.9,5.445,7.734,1.353409991,
,,,-6.9,4.612,6.698,2.388871321,
,,,-6.9,4.879,5.966,1.330220446,
,,,-6.8,3.057,5.065,2.365788472,
,,,-7.8,0,0,2.130306729,
,,,-7.5,2.162,2.613,1.2430817,
,,,-7.3,3.151,4.493,2.399073244,
,,,-7.1,3.003,9.116,1.739029659,
,,,-7,3.287,9.077,1.085908524,
,,,-7,2.75,4.269,1.44894352,
,,,-7,3.599,7.913,2.316811809,
,,,-6.9,2.359,4.37,1.99098661,
,,,-6.7,3.669,8.696,0.978627847,
,,,-7.3,0,0,2.716735721,
,,,-7.3,3.727,7.29,1.923079912,
,,,-7.1,4.104,6.62,1.668106909,
,,,-6.8,3.892,6.366,2.422686875,
,,,-6.8,3.971,6.338,1.976853944,
,,,-6.7,2.627,9.539,2.788085722,
,,,-6.6,3.772,7.202,2.497173141,
,,,-6.4,4.032,7.539,2.857467753,
,,,-6.3,3.957,6.017,1.74820906,
,,,-7.6,0,0,2.136474576,
,,,-7.4,4.343,6.752,1.141155582,
,,,-7.2,4.23,7.4,2.266995435,
,,,-7.2,3.867,7.291,2.531772186,
,,,-6.6,3.267,5.774,2.259662967,
,,,-6.3,3.92,5.989,2.273264835,
,,,-6.3,2.984,8.326,2.364763652,
,,,-6,2.248,8.792,1.953339053,
,,,-5.8,2.808,8.808,2.418949301,
,,,-7.4,0,0,2.040659479,
,,,-7.3,2.769,5.32,1.977947784,
,,,-7.2,2.62,9.578,1.500272331,
,,,-7.2,1.15,3.217,2.632321405,
,,,-7.2,3.799,6.371,1.98169919,
,,,-7.1,3.163,4.758,1.508335288,
,,,-6.8,2.824,5.048,2.203104577,
,,,-6.6,4.063,8.826,2.230542303,
,,,-6.5,3.086,9.193,2.036471643,
,,,-7.6,0,0,2.101656382,
,,,-7.2,3.259,9.102,1.183222126,
,,,-7.2,3.235,8.609,2.446031923,
,,,-7.1,3.149,9.071,1.633085893,
,,,-7.1,3.472,7.867,2.36334399,
,,,-7,1.838,4.123,1.806293999,
,,,-6.8,3.026,4.142,2.349352903,
,,,-6.7,2.102,2.636,1.959044199,
,,,-6.6,2.381,4.509,1.557858037,
,,,-7.9,0,0,1.901279795,
,,,-7.2,4.863,6.841,1.042899761,
,,,-7.2,5.525,7.458,2.429849635,
,,,-7.1,4.801,7.343,1.871151757,
,,,-6.9,3.032,4.847,2.387518841,
,,,-6.8,1.99,3.29,1.510582795,
,,,-6.7,4.784,7.014,1.539982227,
,,,-6.7,5.296,7.169,1.726235647,
,,,-6.5,2.325,3.611,2.096682582,
,,,-7.1,0,0,2.909610068,
,,,-7,4.143,8.617,2.487663842,
,,,-6.8,3.361,8.423,2.684434482,
,,,-6,2.891,8.407,2.637977502,
,,,-5.5,1.496,2.206,2.789877114,
,,,-5.3,2.766,8.974,2.081840194,
,,,-4.7,2.581,4.34,1.946753128,
,,,-4.2,2.928,8.408,2.472763995,
,,,-7.6,0,0,1.965844284,
,,,-7.5,3.619,7.537,2.108213517,
,,,-7.5,2.383,4.633,2.121093548,
,,,-6.7,3.142,5.156,2.095443063,
,,,-6.7,2.708,8.071,1.936656742,
,,,-6.5,4.27,7.825,2.112211548,
,,,-6.3,3.146,5.271,2.093143014,
,,,-6.2,2.191,3.826,2.794138062,
,,,-5.4,3.241,5.334,2.100351522,
,,,-7.2,0,0,2.156496432,
,,,-7.1,2.401,3.087,1.465033329,
,,,-6.9,3.1,8.943,1.447937888,
,,,-6.9,3.031,4.24,1.457635318,
,,,-6.9,2.781,8.61,1.249363477,
,,,-6.9,2.882,7.48,1.693361788,
,,,-6.7,2.975,8.563,2.194628601,
,,,-6.6,3.398,7.669,1.708370425,
,,,-6.6,3.636,7.083,1.955899361,
,,,-7,0,0,1.547521825,
,,,-6.8,2.705,3.211,1.848249256,
,,,-6.8,2.988,8.952,1.401999015,
,,,-6.8,4.76,7.635,1.804871318,
,,,-6.7,2.837,8.503,1.910699366,
,,,-6.6,2.063,4.373,1.819449147,
,,,-6.5,3.882,7.374,1.942891486,
,,,-6.1,2.917,4.428,1.183420951,
,,,-6,2.331,4.486,1.55450421,
,,,-8.4,0,0,1.735063934,
,,,-8.2,1.308,1.804,2.020627366,
,,,-8.1,2.683,7.256,1.925293353,
,,,-7.6,2.473,7.147,0.389772949,
,,,-7.5,4.12,5.755,1.432221835,
,,,-7.4,3.845,5.508,2.313068269,
,,,-7.4,1.848,2.452,1.47484166,
,,,-7.3,3.052,7.382,1.876119697,
,,,-7.2,3.102,7.244,1.444396396,
,,,-8.2,0,0,1.740968265,
,,,-7.6,4.539,7.275,2.17298768,
,,,-7.5,2.93,7.972,1.364680804,
,,,-7.4,3.784,8.216,0.959673793,
,,,-7.3,2.628,3.482,2.084873049,
,,,-7.3,4.58,7.196,1.160096718,
,,,-7.3,4.424,6.584,1.089746702,
,,,-7.1,2.097,4.047,1.72030847,
,,,-7.1,2.726,3.986,1.021311073,
,,,-8.7,0,0,1.302908891,
,,,-8,2.685,8.053,1.690674378,
,,,-8,2.581,7.388,1.298894757,
,,,-7.8,2.739,7.429,1.848822571,
,,,-7.5,1.972,3.242,1.103471638,
,,,-7.4,4.011,6.069,1.041215129,
,,,-7.2,2.249,2.609,2.029675256,
,,,-7.2,3.876,7.418,0.839905941,
,,,-7.2,3.924,6.376,2.174489724,
,,,-8.2,0,0,1.732972632,
,,,-7.9,1.826,2.519,1.29205544,
,,,-7.8,2.983,8.047,1.420356149,
,,,-7.6,4.49,7.201,2.165421148,
,,,-7.4,2.714,3.531,2.111367176,
,,,-7.4,4.322,6.954,1.487034446,
,,,-7.3,4.611,7.162,1.168788032,
,,,-7.3,3.787,8.234,1.023847753,
,,,-7.2,4.546,6.753,1.071138684,
,,,-8.7,0,0,2.089485016,
,,,-8,1.293,3.041,1.106453477,
,,,-7.9,2.334,7.27,0.929958754,
,,,-7.7,2.195,7.33,2.46112292,
,,,-7.2,3.243,6.302,2.781537434,
,,,-7.1,3.264,7.221,1.028025322,
,,,-7.1,3.693,6.457,1.819670972,
,,,-7.1,3.728,6.351,1.564098332,
,,,-6.9,4.018,6.726,1.571506343,
,,,-9.2,0,0,2.636766164,
,,,-9.2,1.379,2.288,2.324003055,
,,,-9,3.218,6.662,1.713965526,
,,,-8.4,3.354,7.171,1.992632218,
,,,-8.3,2.688,6.635,2.283698975,
,,,-8.2,3.207,6.677,2.001892956,
,,,-8.2,3.6,5.379,1.674978308,
,,,-8.1,3.581,5.196,2.513268144,
,,,-8,2.759,6.65,1.770156212,
,,,-9.2,0,0,2.633076097,
,,,-9.2,1.402,2.297,2.352735008,
,,,-8.7,3.215,6.651,1.74822435,
,,,-8.4,3.368,6.744,1.445666935,
,,,-8.4,3.343,7.168,2.01818765,
,,,-8.3,2.713,6.648,2.29149557,
,,,-8.1,2.745,6.627,1.790818272,
,,,-8,2.977,6.885,0.538161405,
,,,-7.9,3.004,6.229,2.481946584,
,,,-8.5,0,0,1.454211186,
,,,-8.2,2.421,5.077,1.883835597,
,,,-8.1,3.38,5.761,1.985826743,
,,,-8,1.81,2.257,2.012790825,
,,,-8,3.097,5.495,1.521729539,
,,,-8,2.852,3.101,1.644404194,
,,,-7.9,3.238,6.806,1.667180492,
,,,-7.8,2.964,5.284,1.712183005,
,,,-7.8,4.171,7.631,1.82276311,
,,,-8.9,0,0,1.729416855,
,,,-8.9,2.996,6.639,1.350224685,
,,,-8.6,3.367,6.941,1.041668979,
,,,-8.5,2.555,2.924,2.34725633,
,,,-8.3,2.999,7.182,2.172605924,
,,,-8.3,2.842,6.641,2.030100746,
,,,-8.2,2.919,6.847,0.976638208,
,,,-8.2,2.305,2.71,0.747834983,
,,,-8,3.286,5.353,1.872901154,
,,,-8.9,0,0,1.337526157,
,,,-8.9,3.02,6.645,1.720321567,
,,,-8.6,1.533,2.044,1.030261029,
,,,-8.4,3.574,5.28,2.087576626,
,,,-8.3,2.515,6.821,2.337864115,
,,,-8.3,2.595,6.689,2.31864123,
,,,-8.2,2.299,6.626,0.855432411,
,,,-8.2,3.692,4.604,0.912427996,
,,,-8,3.308,7.123,1.834967007,
,,,-8.6,0,0,2.713009404,
,,,-8.4,2.559,4.522,2.939865732,
,,,-8.3,2.169,2.858,1.609945908,
,,,-8.1,1.951,2.593,2.260603926,
,,,-8.1,2.637,4.413,2.006513412,
,,,-7.9,2.281,4.757,1.698909514,
,,,-7.8,2.314,2.667,2.086721773,
,,,-7.7,2.62,4.815,2.503312284,
,,,-7.6,2.653,5.133,1.912195185,
,,,-8.9,0,0,2.291314629,
,,,-8.9,1.427,2.286,2.483855865,
,,,-8.8,2.57,6.725,0.222008617,
,,,-8.7,2.738,6.812,2.19033139,
,,,-8.5,3.435,4.712,2.330650043,
,,,-8.4,1.946,6.464,1.537219338,
,,,-8.3,2.814,6.8,2.521527383,
,,,-8.2,2.95,6.636,1.436936886,
,,,-8.2,2.565,6.841,1.531249982,
,,,-8.4,0,0,1.497550761,
,,,-8.4,2.733,7.127,0.513421558,
,,,-8.4,0.896,1.155,1.4382547,
,,,-8.3,1.726,2.364,1.287498553,
,,,-8.2,2.878,7.561,1.655420586,
,,,-8.2,1.648,4.541,1.474654332,
,,,-8,3.559,6.224,1.440732937,
,,,-8,3.876,6.842,2.032363086,
,,,-7.9,2.772,6.812,1.958456051,
,,,-9.1,0,0,2.293361773,
,,,-9,3.221,6.65,2.163768833,
,,,-8.8,3.28,8.146,1.48999787,
,,,-8.8,2.937,6.443,0.363491666,
,,,-8.6,3.23,6.891,2.4532009,
,,,-8.4,3.076,6.654,2.548395319,
,,,-8.2,2.327,5.093,1.091937696,
,,,-8.1,3.162,6.754,1.802834447,
,,,-8.1,3.182,7.105,1.827985852,
,,,-8.8,0,0,1.329020032,
,,,-8.4,2.16,3.137,1.528298132,
,,,-8.1,4.288,7.236,1.639200863,
,,,-8,3.276,8.414,1.502882181,
,,,-8,1.396,4.222,1.763375076,
,,,-7.9,1.808,2.48,1.477111788,
,,,-7.8,2.843,7.484,0.831232535,
,,,-7.7,4.003,6.992,0.750131073,
,,,-7.7,3.381,6.387,1.696416025,
,,,-8.8,0,0,1.318386688,
,,,-8.4,2.143,3.121,1.528383651,
,,,-8.3,4.372,7.223,1.657286944,
,,,-8,3.204,8.424,1.49400793,
,,,-7.8,4.296,6.828,2.315784895,
,,,-7.7,3.435,6.465,2.354365505,
,,,-7.7,4.007,7.004,0.750450332,
,,,-7.6,4.129,6.49,2.415942251,
,,,-7.6,2.384,3.174,1.260232291,
,,,-8.4,0,0,1.326088854,
,,,-8.4,3.194,6.379,1.760248932,
,,,-8.4,2.738,8.271,2.504863313,
,,,-8.2,2.635,6.66,1.143631386,
,,,-8.2,3.54,6.309,1.648786755,
,,,-8.2,2.733,8.43,1.049034969,
,,,-8,2.979,8.271,2.43132586,
,,,-7.6,2.892,7.546,2.047055943,
,,,-7.6,3.259,7.561,0.778929854,
,,,-8.4,0,0,1.331394343,
,,,-8.4,2.743,8.279,2.506143475,
,,,-8.3,3.2,6.382,1.757804548,
,,,-8.3,2.747,6.68,1.128765095,
,,,-8.2,2.943,8.232,2.426465086,
,,,-8.1,2.736,8.43,1.049116874,
,,,-8,2.986,8.507,0.899213248,
,,,-7.5,3.384,8.529,0.797485557,
,,,-7.3,2.811,7.441,1.419868405,
,,,-9.5,0,0,1.868567377,
,,,-8.8,1.8,3.265,1.159244611,
,,,-8.6,2.65,7.22,1.079135327,
,,,-8.3,3.251,6.999,0.741666932,
,,,-8.3,2.641,7.038,1.004591809,
,,,-8.2,3.115,6.165,0.94263161,
,,,-7.9,2.815,8.211,2.253750844,
,,,-7.8,4.003,7.395,2.712374339,
,,,-7.6,3.698,6.101,3.031842432,
,,,-8.7,0,0,1.156871239,
,,,-8.4,2.273,7.214,1.085466434,
,,,-8.2,2.964,7.063,0.968731332,
,,,-8.2,3.199,6.348,2.093475152,
,,,-8.1,3.713,5.801,0.947253006,
,,,-8.1,3.601,7.113,0.711358035,
,,,-8,1.284,1.638,0.596919984,
,,,-7.7,3.972,7.548,2.728009673,
,,,-7.6,2.642,7.382,1.78705783,
,,,-9.5,0,0,1.617812901,
,,,-8.9,1.788,3.306,1.403743765,
,,,-8.8,4.181,6.18,1.104819915,
,,,-8.8,3.846,6.34,1.98851803,
,,,-8.8,2.725,7.323,1.466632968,
,,,-8.6,2.864,8.201,1.344797008,
,,,-8.4,3.781,7.137,0.665304384,
,,,-8.2,3.865,6.713,0.628402421,
,,,-8.2,2.235,2.742,1.872023939,
,,,-9.5,0,0,1.640691275,
,,,-9,1.801,3.385,1.407551986,
,,,-8.9,2.741,7.312,1.461336253,
,,,-8.9,4.138,6.124,1.105617635,
,,,-8.8,3.832,6.309,1.980630632,
,,,-8.6,3.733,7.109,0.70589262,
,,,-8.4,2.82,7.363,1.238666077,
,,,-8.2,3.134,4.436,2.0595865,
,,,-8.1,4.537,7.099,0.674785903,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
