Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL379826,,None,484.54,0,1.61,26,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NCC(N)=O)ccc3N2)c(O)c2cccnc21,IC50,'=',34,nM,7.47,,,UO_0000065,15.41,0.3,5.86,4.43,0,CHEMBL871397,Inhibition of HCV 1b NS5B RNA polymerase,B,BAO_0000357,single protein format,Hepatitis C virus subtype 1b,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1138030,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,
CHEMBL210158,,None,505.58,1,2.08,31,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c(O)c2cccnc21,IC50,'=',2,nM,8.7,,,UO_0000065,17.21,0.35,6.62,5.44,0,CHEMBL871399,Inhibition of HCV 1a NS5B RNA polymerase,B,BAO_0000357,single protein format,Hepatitis C virus subtype 1a,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1138030,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,
CHEMBL210158,,None,505.58,1,2.08,31,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c(O)c2cccnc21,PPB,'>',99,%,,,,UO_0000187,,,,,0,CHEMBL854419,Protein binding in plasma,A,BAO_0000366,cell-free format,None,CHEMBL3559721,Plasma,None,None,,,,CHEMBL612558,ADMET,,ADMET,CHEMBL1138030,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,
CHEMBL239524,,None,462.49,0,2.72,3,COc1cccc2c1NC(c1c(O)c3cccnc3n(Cc3ccccc3)c1=O)=NS2(=O)=O,IC50,'=',18000,nM,4.75,,,UO_0000065,10.26,0.2,2.02,3.86,0,CHEMBL871399,Inhibition of HCV 1a NS5B RNA polymerase,B,BAO_0000357,single protein format,Hepatitis C virus subtype 1a,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1138030,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,
CHEMBL211874,,None,485.52,0,1.57,21,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(OCC(N)=O)ccc3N2)c(O)c2cccnc21,EC50,'=',78,nM,7.11,,,UO_0000065,,,,,0,CHEMBL871404,Inhibition of HCV 1b replication in presence of 5% fetal calf serum,F,BAO_0000218,organism-based format,Hepatitis C virus subtype 1b,None,None,None,None,,,,CHEMBL379,Hepatitis C virus,Hepatitis C virus,ORGANISM,CHEMBL1138030,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,
CHEMBL425607,,None,499.55,0,1.64,20,CNC(=O)COc1ccc2c(c1)S(=O)(=O)NC(c1c(O)c3cccnc3n(CCC(C)C)c1=O)=N2,IC50,'=',80,nM,7.1,,,UO_0000065,14.21,0.28,5.46,4.67,0,CHEMBL871397,Inhibition of HCV 1b NS5B RNA polymerase,B,BAO_0000357,single protein format,Hepatitis C virus subtype 1b,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1138030,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,
CHEMBL211874,,None,485.52,0,1.57,21,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(OCC(N)=O)ccc3N2)c(O)c2cccnc21,EC50,'=',2740,nM,5.56,,,UO_0000065,,,,,0,CHEMBL871408,Inhibition of HCV 1b replication in presence of 40% human serum,F,BAO_0000218,organism-based format,Hepatitis C virus subtype 1b,None,None,None,None,,,,CHEMBL379,Hepatitis C virus,Hepatitis C virus,ORGANISM,CHEMBL1138030,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,
CHEMBL426866,,None,471.54,0,2.05,22,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(OCCN)ccc3N2)c(O)c2cccnc21,IC50,'=',637,nM,6.2,,,UO_0000065,13.14,0.26,4.15,4.16,0,CHEMBL871399,Inhibition of HCV 1a NS5B RNA polymerase,B,BAO_0000357,single protein format,Hepatitis C virus subtype 1a,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1138030,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,
CHEMBL212355,,None,547.66,1,3.06,30,CCCCS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)NC(c1c(O)c3cccnc3n(CCC(C)C)c1=O)=N2,EC50,'=',1000,nM,6,,,UO_0000065,,,,,0,CHEMBL871404,Inhibition of HCV 1b replication in presence of 5% fetal calf serum,F,BAO_0000218,organism-based format,Hepatitis C virus subtype 1b,None,None,None,None,,,,CHEMBL379,Hepatitis C virus,Hepatitis C virus,ORGANISM,CHEMBL1138030,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,
CHEMBL379045,,None,467.51,0,2.61,23,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(OCC#N)ccc3N2)c(O)c2cccnc21,IC50,'=',141,nM,6.85,,,UO_0000065,14.65,0.28,4.24,4.67,0,CHEMBL871399,Inhibition of HCV 1a NS5B RNA polymerase,B,BAO_0000357,single protein format,Hepatitis C virus subtype 1a,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1138030,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,
CHEMBL213509,,None,427.49,0,2.29,24,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(N)ccc3N2)c(O)c2cccnc21,EC50,'=',480,nM,6.32,,,UO_0000065,,,,,0,CHEMBL871404,Inhibition of HCV 1b replication in presence of 5% fetal calf serum,F,BAO_0000218,organism-based format,Hepatitis C virus subtype 1b,None,None,None,None,,,,CHEMBL379,Hepatitis C virus,Hepatitis C virus,ORGANISM,CHEMBL1138030,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,
CHEMBL426866,,None,471.54,0,2.05,22,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(OCCN)ccc3N2)c(O)c2cccnc21,IC50,'=',51,nM,7.29,,,UO_0000065,15.47,0.3,5.24,4.9,0,CHEMBL871397,Inhibition of HCV 1b NS5B RNA polymerase,B,BAO_0000357,single protein format,Hepatitis C virus subtype 1b,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1138030,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,
CHEMBL210158,,None,505.58,1,2.08,31,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c(O)c2cccnc21,IC50,'=',6,nM,8.22,,,UO_0000065,16.26,0.33,6.14,5.14,0,CHEMBL871397,Inhibition of HCV 1b NS5B RNA polymerase,B,BAO_0000357,single protein format,Hepatitis C virus subtype 1b,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1138030,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,
CHEMBL211874,,None,485.52,0,1.57,21,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(OCC(N)=O)ccc3N2)c(O)c2cccnc21,Cmax,'=',180,nM,,,,UO_0000065,,,,,0,CHEMBL854422,Cmax in rat at 5 mg/kg,,,,,,,,,,,,,,,,,,,,,,
CHEMBL211874,,None,485.52,0,1.57,21,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(OCC(N)=O)ccc3N2)c(O)c2cccnc21,IC50,'=',16,nM,7.8,,,UO_0000065,16.06,0.31,6.23,4.7,0,CHEMBL871397,Inhibition of HCV 1b NS5B RNA polymerase,B,BAO_0000357,single protein format,Hepatitis C virus subtype 1b,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1138030,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,
CHEMBL212355,,None,547.66,1,3.06,30,CCCCS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)NC(c1c(O)c3cccnc3n(CCC(C)C)c1=O)=N2,EC50,,,,,,Not Determined,,,,,,0,CHEMBL871408,Inhibition of HCV 1b replication in presence of 40% human serum,F,BAO_0000218,organism-based format,Hepatitis C virus subtype 1b,None,None,None,None,,,,CHEMBL379,Hepatitis C virus,Hepatitis C virus,ORGANISM,CHEMBL1138030,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,
CHEMBL211874,,None,485.52,0,1.57,21,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(OCC(N)=O)ccc3N2)c(O)c2cccnc21,AUC,'=',2.54,,,Non standard unit for type,,,,,,,0,CHEMBL854423,Plasma AUC in rat at 5 mg/kg,,,,,,,,,,,,,,,,,,,,,,
CHEMBL212355,,None,547.66,1,3.06,30,CCCCS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)NC(c1c(O)c3cccnc3n(CCC(C)C)c1=O)=N2,IC50,'=',5,nM,8.3,,,UO_0000065,15.16,0.31,5.24,5.19,0,CHEMBL871397,Inhibition of HCV 1b NS5B RNA polymerase,B,BAO_0000357,single protein format,Hepatitis C virus subtype 1b,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1138030,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,
CHEMBL211408,,None,567.65,1,3.51,28,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(=O)(=O)c4ccccc4)ccc3N2)c(O)c2cccnc21,EC50,,,,,,Not Determined,,,,,,0,CHEMBL871408,Inhibition of HCV 1b replication in presence of 40% human serum,F,BAO_0000218,organism-based format,Hepatitis C virus subtype 1b,None,None,None,None,,,,CHEMBL379,Hepatitis C virus,Hepatitis C virus,ORGANISM,CHEMBL1138030,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,
CHEMBL214084,,None,542.61,1,3.43,17,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(OCC(=O)OC(C)(C)C)ccc3N2)c(O)c2cccnc21,IC50,'=',5000,nM,5.3,,,UO_0000065,9.77,0.19,1.87,3.55,0,CHEMBL871399,Inhibition of HCV 1a NS5B RNA polymerase,B,BAO_0000357,single protein format,Hepatitis C virus subtype 1a,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1138030,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,
CHEMBL183046,,None,412.47,0,2.71,2,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cccnc21,IC50,'=',41,nM,7.39,,,UO_0000065,17.91,0.35,4.68,6.5,0,CHEMBL871397,Inhibition of HCV 1b NS5B RNA polymerase,B,BAO_0000357,single protein format,Hepatitis C virus subtype 1b,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1138030,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,
CHEMBL214015,,None,470.55,0,3.31,15,CCCOc1ccc2c(c1)S(=O)(=O)NC(c1c(O)c3cccnc3n(CCC(C)C)c1=O)=N2,IC50,'=',1620,nM,5.79,,,UO_0000065,12.31,0.24,2.48,4.71,0,CHEMBL871399,Inhibition of HCV 1a NS5B RNA polymerase,B,BAO_0000357,single protein format,Hepatitis C virus subtype 1a,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1138030,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,
CHEMBL211455,,None,462.49,0,2.53,5,COc1ccc2c(c1)S(=O)(=O)NC(c1c(O)c3cccnc3n(Cc3ccccc3)c1=O)=N2,IC50,'=',76,nM,7.12,,,UO_0000065,15.39,0.29,4.59,5.79,0,CHEMBL871397,Inhibition of HCV 1b NS5B RNA polymerase,B,BAO_0000357,single protein format,Hepatitis C virus subtype 1b,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1138030,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,
CHEMBL239976,,None,442.5,0,2.72,12,COc1cccc2c1NC(c1c(O)c3cccnc3n(CCC(C)C)c1=O)=NS2(=O)=O,IC50,'=',17580,nM,4.75,,,UO_0000065,10.75,0.21,2.03,3.87,0,CHEMBL871399,Inhibition of HCV 1a NS5B RNA polymerase,B,BAO_0000357,single protein format,Hepatitis C virus subtype 1a,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1138030,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,
CHEMBL213509,,None,427.49,0,2.29,24,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(N)ccc3N2)c(O)c2cccnc21,EC50,,,,,,Not Determined,,,,,,0,CHEMBL871408,Inhibition of HCV 1b replication in presence of 40% human serum,F,BAO_0000218,organism-based format,Hepatitis C virus subtype 1b,None,None,None,None,,,,CHEMBL379,Hepatitis C virus,Hepatitis C virus,ORGANISM,CHEMBL1138030,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,
CHEMBL212120,,None,446.49,0,2.83,8,Cc1ccc2c(c1)S(=O)(=O)NC(c1c(O)c3cccnc3n(Cc3ccccc3)c1=O)=N2,IC50,'=',25700,nM,4.59,,,UO_0000065,10.28,0.2,1.76,4.04,0,CHEMBL871399,Inhibition of HCV 1a NS5B RNA polymerase,B,BAO_0000357,single protein format,Hepatitis C virus subtype 1a,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1138030,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,
CHEMBL208997,,None,513.58,1,2.18,19,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(OCC(=O)N(C)C)ccc3N2)c(O)c2cccnc21,IC50,'=',70,nM,7.16,,,UO_0000065,13.93,0.27,4.97,5,0,CHEMBL871397,Inhibition of HCV 1b NS5B RNA polymerase,B,BAO_0000357,single protein format,Hepatitis C virus subtype 1b,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1138030,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,
CHEMBL212470,,None,511.36,1,3.47,11,O=c1c(C2=NS(=O)(=O)c3cccc(Br)c3N2)c(O)c2cccnc2n1Cc1ccccc1,IC50,'=',6200,nM,5.21,,,UO_0000065,10.18,0.22,1.74,4.58,0,CHEMBL871399,Inhibition of HCV 1a NS5B RNA polymerase,B,BAO_0000357,single protein format,Hepatitis C virus subtype 1a,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1138030,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,
CHEMBL377842,,None,523.49,1,3.21,27,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NC(=O)C(F)(F)F)ccc3N2)c(O)c2cccnc21,IC50,'=',70,nM,7.16,,,UO_0000065,13.67,0.27,3.94,5.01,0,CHEMBL871397,Inhibition of HCV 1b NS5B RNA polymerase,B,BAO_0000357,single protein format,Hepatitis C virus subtype 1b,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1138030,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,
CHEMBL212417,,None,486.51,0,2.17,18,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(OCC(=O)O)ccc3N2)c(O)c2cccnc21,IC50,'=',367,nM,6.43,,,UO_0000065,13.23,0.26,4.27,4.02,0,CHEMBL871399,Inhibition of HCV 1a NS5B RNA polymerase,B,BAO_0000357,single protein format,Hepatitis C virus subtype 1a,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1138030,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,
CHEMBL212470,,None,511.36,1,3.47,11,O=c1c(C2=NS(=O)(=O)c3cccc(Br)c3N2)c(O)c2cccnc2n1Cc1ccccc1,IC50,'=',1170,nM,5.93,,,UO_0000065,11.6,0.25,2.46,5.22,0,CHEMBL871397,Inhibition of HCV 1b NS5B RNA polymerase,B,BAO_0000357,single protein format,Hepatitis C virus subtype 1b,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1138030,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,
CHEMBL211874,,None,485.52,0,1.57,21,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(OCC(N)=O)ccc3N2)c(O)c2cccnc21,IC50,'=',46,nM,7.34,,,UO_0000065,15.11,0.29,5.77,4.42,0,CHEMBL871399,Inhibition of HCV 1a NS5B RNA polymerase,B,BAO_0000357,single protein format,Hepatitis C virus subtype 1a,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1138030,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,
CHEMBL213509,,None,427.49,0,2.29,24,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(N)ccc3N2)c(O)c2cccnc21,IC50,'=',310,nM,6.51,,,UO_0000065,15.23,0.3,4.22,4.66,0,CHEMBL871399,Inhibition of HCV 1a NS5B RNA polymerase,B,BAO_0000357,single protein format,Hepatitis C virus subtype 1a,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1138030,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,
CHEMBL211408,,None,567.65,1,3.51,28,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(=O)(=O)c4ccccc4)ccc3N2)c(O)c2cccnc21,EC50,'=',1690,nM,5.77,,,UO_0000065,,,,,0,CHEMBL871404,Inhibition of HCV 1b replication in presence of 5% fetal calf serum,F,BAO_0000218,organism-based format,Hepatitis C virus subtype 1b,None,None,None,None,,,,CHEMBL379,Hepatitis C virus,Hepatitis C virus,ORGANISM,CHEMBL1138030,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,
CHEMBL212355,,None,547.66,1,3.06,30,CCCCS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)NC(c1c(O)c3cccnc3n(CCC(C)C)c1=O)=N2,IC50,'=',22,nM,7.66,,,UO_0000065,13.98,0.28,4.6,4.79,0,CHEMBL871399,Inhibition of HCV 1a NS5B RNA polymerase,B,BAO_0000357,single protein format,Hepatitis C virus subtype 1a,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1138030,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,
CHEMBL379826,,None,484.54,0,1.61,26,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NCC(N)=O)ccc3N2)c(O)c2cccnc21,EC50,,,,,,Not Determined,,,,,,0,CHEMBL871408,Inhibition of HCV 1b replication in presence of 40% human serum,F,BAO_0000218,organism-based format,Hepatitis C virus subtype 1b,None,None,None,None,,,,CHEMBL379,Hepatitis C virus,Hepatitis C virus,ORGANISM,CHEMBL1138030,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,
