,Molecule ChEMBL ID,,Molecule ChEMBL ID,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
11,CHEMBL371345,11,CHEMBL371345,495.33,0,4.21,65 (table 4),O=C(O)CNC(=O)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccccc1,CC50,'>',50000,nM,,,,UO_0000065,,,,,0,CHEMBL839075,Cytotoxic concentration against RNA dependent RNA polymerase Nonstructural protein 5B (HCV NS5B polymerase) in Hepatitis C virus,B,BAO_0000357,single protein format,Hepatitis C virus,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1145278,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2005,None,
12,CHEMBL365135,12,CHEMBL365135,466.33,1,5.66,28 (table 1),CCc1ccccc1C(=O)N/C(=C\c1ccc(Oc2ccccc2Br)cc1)C(=O)O,ED50,'=',70,uM,,Non standard unit for type,,UO_0000064,,,,,0,CHEMBL832552,Effective dose for RNA dependent RNA polymerase Nonstructural protein 5B (HCV NS5B polymerase) in Hepatitis C virus,B,BAO_0000357,single protein format,Hepatitis C virus,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1145278,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2005,None,
13,CHEMBL364684,13,CHEMBL364684,520.3,2,6.04,40 (table 1),O=C(Cc1ccc(C(F)(F)F)cc1)N/C(=C\c1ccc(Oc2ccccc2Br)cc1)C(=O)O,IC50,'=',1000,nM,6,,,UO_0000065,11.53,0.25,-0.04,7.93,0,CHEMBL827995,Inhibitory concentration against RNA dependent RNA polymerase Nonstructural protein 5B (HCV NS5B polymerase) in Hepatitis C virus,B,BAO_0000357,single protein format,Hepatitis C virus,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1145278,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2005,None,
14,CHEMBL194554,14,CHEMBL194554,437.29,0,4.5,25 (table 4),NC(=O)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccccc1,ED50,'=',20,uM,,Non standard unit for type,,UO_0000064,,,,,0,CHEMBL832552,Effective dose for RNA dependent RNA polymerase Nonstructural protein 5B (HCV NS5B polymerase) in Hepatitis C virus,B,BAO_0000357,single protein format,Hepatitis C virus,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1145278,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2005,None,
15,CHEMBL371345,15,CHEMBL371345,495.33,0,4.21,65 (table 4),O=C(O)CNC(=O)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccccc1,ED50,'>',50,uM,,Non standard unit for type,,UO_0000064,,,,,0,CHEMBL832552,Effective dose for RNA dependent RNA polymerase Nonstructural protein 5B (HCV NS5B polymerase) in Hepatitis C virus,B,BAO_0000357,single protein format,Hepatitis C virus,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1145278,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2005,None,
16,CHEMBL193596,16,CHEMBL193596,529.39,2,6.36,68 (table 4),O=C(Nc1ccc(O)cc1)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccccc1,IC50,'=',12000,nM,4.92,,,UO_0000065,9.3,0.19,-1.44,5.61,0,CHEMBL827995,Inhibitory concentration against RNA dependent RNA polymerase Nonstructural protein 5B (HCV NS5B polymerase) in Hepatitis C virus,B,BAO_0000357,single protein format,Hepatitis C virus,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1145278,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2005,None,
17,CHEMBL365748,17,CHEMBL365748,529.39,2,6.36,69 (table 4),O=C(Nc1cccc(O)c1)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccccc1,CC50,'=',25000,nM,,,,UO_0000065,,,,,0,CHEMBL839075,Cytotoxic concentration against RNA dependent RNA polymerase Nonstructural protein 5B (HCV NS5B polymerase) in Hepatitis C virus,B,BAO_0000357,single protein format,Hepatitis C virus,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1145278,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2005,None,
18,CHEMBL195300,18,CHEMBL195300,529.39,2,6.36,70 (table 4),O=C(Nc1ccccc1O)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccccc1,ED50,'>',50,uM,,Non standard unit for type,,UO_0000064,,,,,0,CHEMBL832552,Effective dose for RNA dependent RNA polymerase Nonstructural protein 5B (HCV NS5B polymerase) in Hepatitis C virus,B,BAO_0000357,single protein format,Hepatitis C virus,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1145278,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2005,None,
19,CHEMBL195300,19,CHEMBL195300,529.39,2,6.36,70 (table 4),O=C(Nc1ccccc1O)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccccc1,CC50,'>',50000,nM,,,,UO_0000065,,,,,0,CHEMBL839075,Cytotoxic concentration against RNA dependent RNA polymerase Nonstructural protein 5B (HCV NS5B polymerase) in Hepatitis C virus,B,BAO_0000357,single protein format,Hepatitis C virus,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1145278,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2005,None,
20,CHEMBL195832,20,CHEMBL195832,557.4,2,6.35,71 (table 4),O=C(Nc1ccccc1C(=O)O)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccccc1,IC50,'=',400,nM,6.4,,,UO_0000065,11.48,0.24,0.05,6.11,0,CHEMBL827995,Inhibitory concentration against RNA dependent RNA polymerase Nonstructural protein 5B (HCV NS5B polymerase) in Hepatitis C virus,B,BAO_0000357,single protein format,Hepatitis C virus,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1145278,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2005,None,
21,CHEMBL192674,21,CHEMBL192674,407.51,1,5.55,61 (table 3),CCc1ccccc1Oc1ccc(/C=C(\NC(=O)CCC2CCCC2)C(=O)O)cc1,ED50,'=',15,uM,,Non standard unit for type,,UO_0000064,,,,,0,CHEMBL832552,Effective dose for RNA dependent RNA polymerase Nonstructural protein 5B (HCV NS5B polymerase) in Hepatitis C virus,B,BAO_0000357,single protein format,Hepatitis C virus,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1145278,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2005,None,
22,CHEMBL188442,,,438.28,1,5.1,2 (Page 2812),O=C(O)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccccc1,F,'=',21,%,,,,UO_0000187,,,,,0,CHEMBL835523,Oral bioavailability in rat,F,BAO_0000218,organism-based format,Rattus norvegicus,None,None,None,None,,,,CHEMBL612558,ADMET,,ADMET,CHEMBL1145278,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2005,None,
23,CHEMBL195227,22,CHEMBL195227,458.35,1,5.75,52 (table 2),O=C(CC1CCCCC1)N/C(=C\c1ccc(Oc2ccccc2Br)cc1)C(=O)O,IC50,'=',2200,nM,5.66,,,UO_0000065,12.34,0.27,-0.09,7.48,0,CHEMBL827995,Inhibitory concentration against RNA dependent RNA polymerase Nonstructural protein 5B (HCV NS5B polymerase) in Hepatitis C virus,B,BAO_0000357,single protein format,Hepatitis C virus,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1145278,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2005,None,
24,CHEMBL192831,23,CHEMBL192831,452.3,1,5.41,36 (table 1),Cc1ccc(C(=O)N/C(=C\c2ccc(Oc3ccccc3Br)cc2)C(=O)O)cc1,IC50,'=',250,nM,6.6,,,UO_0000065,14.6,0.31,1.19,8.73,0,CHEMBL827995,Inhibitory concentration against RNA dependent RNA polymerase Nonstructural protein 5B (HCV NS5B polymerase) in Hepatitis C virus,B,BAO_0000357,single protein format,Hepatitis C virus,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1145278,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2005,None,
25,CHEMBL191661,24,CHEMBL191661,481.35,0,4.12,64 (table 4),O=C(NCCO)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccccc1,Ratio,'=',3,,,,,,,,,,0,CHEMBL831764,Ratio for cellular to RNA dependent RNA polymerase Nonstructural protein 5B activity in Hepatitis C virus,B,BAO_0000357,single protein format,Hepatitis C virus,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1145278,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2005,None,
26,CHEMBL192821,25,CHEMBL192821,474.26,1,5.38,34 (table 1),O=C(O)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccc(F)cc1F,CC50,'>',100000,nM,,,,UO_0000065,,,,,0,CHEMBL839075,Cytotoxic concentration against RNA dependent RNA polymerase Nonstructural protein 5B (HCV NS5B polymerase) in Hepatitis C virus,B,BAO_0000357,single protein format,Hepatitis C virus,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1145278,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2005,None,
27,CHEMBL191749,26,CHEMBL191749,458.35,1,5.75,59 (table 3),O=C(CCC1CCCC1)N/C(=C\c1ccc(Oc2ccccc2Br)cc1)C(=O)O,Ratio,'=',2,,,,,,,,,,0,CHEMBL831764,Ratio for cellular to RNA dependent RNA polymerase Nonstructural protein 5B activity in Hepatitis C virus,B,BAO_0000357,single protein format,Hepatitis C virus,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1145278,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2005,None,
28,CHEMBL193333,27,CHEMBL193333,513.39,2,6.65,67 (table 4),O=C(Nc1ccccc1)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccccc1,CC50,'>',50000,nM,,,,UO_0000065,,,,,0,CHEMBL839075,Cytotoxic concentration against RNA dependent RNA polymerase Nonstructural protein 5B (HCV NS5B polymerase) in Hepatitis C virus,B,BAO_0000357,single protein format,Hepatitis C virus,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1145278,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2005,None,
29,CHEMBL191661,,,481.35,0,4.12,64 (table 4),O=C(NCCO)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccccc1,CL,'=',3.2,L.h/kg,,Non standard unit for type,,,,,,,0,CHEMBL2449584,Clearance measured in Sprague Dawley rat dosed at 5mg/kg,A,BAO_0000218,organism-based format,Rattus norvegicus,None,None,None,None,,,,CHEMBL612558,ADMET,,ADMET,CHEMBL1145278,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2005,None,
30,CHEMBL194554,28,CHEMBL194554,437.29,0,4.5,25 (table 4),NC(=O)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccccc1,IC50,'=',500,nM,6.3,,,UO_0000065,14.41,0.31,1.8,7.74,0,CHEMBL827995,Inhibitory concentration against RNA dependent RNA polymerase Nonstructural protein 5B (HCV NS5B polymerase) in Hepatitis C virus,B,BAO_0000357,single protein format,Hepatitis C virus,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1145278,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2005,None,
31,CHEMBL372685,29,CHEMBL372685,447.45,1,6.01,60 (table 3),O=C(CCC1CCCC1)N/C(=C\c1ccc(Oc2ccccc2C(F)(F)F)cc1)C(=O)O,ED50,'=',5,uM,,Non standard unit for type,,UO_0000064,,,,,0,CHEMBL832552,Effective dose for RNA dependent RNA polymerase Nonstructural protein 5B (HCV NS5B polymerase) in Hepatitis C virus,B,BAO_0000357,single protein format,Hepatitis C virus,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1145278,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2005,None,
32,CHEMBL426277,30,CHEMBL426277,534.33,2,6.43,42 (table 1),O=C(CCc1ccc(C(F)(F)F)cc1)N/C(=C\c1ccc(Oc2ccccc2Br)cc1)C(=O)O,CC50,'>',100000,nM,,,,UO_0000065,,,,,0,CHEMBL839075,Cytotoxic concentration against RNA dependent RNA polymerase Nonstructural protein 5B (HCV NS5B polymerase) in Hepatitis C virus,B,BAO_0000357,single protein format,Hepatitis C virus,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1145278,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2005,None,
33,CHEMBL192269,31,CHEMBL192269,449.24,0,4.04,46 (table 2),O=C(O)/C(=C/c1ccc(Oc2ccccc2I)cc1)NC(=O)C1CC1,IC50,'=',2800,nM,5.55,,,UO_0000065,12.36,0.3,1.51,7.34,0,CHEMBL827995,Inhibitory concentration against RNA dependent RNA polymerase Nonstructural protein 5B (HCV NS5B polymerase) in Hepatitis C virus,B,BAO_0000357,single protein format,Hepatitis C virus,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1145278,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2005,None,
34,CHEMBL191749,32,CHEMBL191749,458.35,1,5.75,59 (table 3),O=C(CCC1CCCC1)N/C(=C\c1ccc(Oc2ccccc2Br)cc1)C(=O)O,CC50,'>',100000,nM,,,,UO_0000065,,,,,0,CHEMBL839075,Cytotoxic concentration against RNA dependent RNA polymerase Nonstructural protein 5B (HCV NS5B polymerase) in Hepatitis C virus,B,BAO_0000357,single protein format,Hepatitis C virus,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1145278,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2005,None,
35,CHEMBL372277,33,CHEMBL372277,527.42,2,6.33,66 (table 4),O=C(NCc1ccccc1)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccccc1,IC50,'>',100000,nM,,,,UO_0000065,,,,,0,CHEMBL827995,Inhibitory concentration against RNA dependent RNA polymerase Nonstructural protein 5B (HCV NS5B polymerase) in Hepatitis C virus,B,BAO_0000357,single protein format,Hepatitis C virus,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1145278,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2005,None,
36,CHEMBL372277,34,CHEMBL372277,527.42,2,6.33,66 (table 4),O=C(NCc1ccccc1)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccccc1,ED50,'>',50,uM,,Non standard unit for type,,UO_0000064,,,,,0,CHEMBL832552,Effective dose for RNA dependent RNA polymerase Nonstructural protein 5B (HCV NS5B polymerase) in Hepatitis C virus,B,BAO_0000357,single protein format,Hepatitis C virus,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1145278,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2005,None,
37,CHEMBL195300,35,CHEMBL195300,529.39,2,6.36,70 (table 4),O=C(Nc1ccccc1O)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccccc1,IC50,'=',15000,nM,4.82,,,UO_0000065,9.11,0.19,-1.54,5.5,0,CHEMBL827995,Inhibitory concentration against RNA dependent RNA polymerase Nonstructural protein 5B (HCV NS5B polymerase) in Hepatitis C virus,B,BAO_0000357,single protein format,Hepatitis C virus,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1145278,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2005,None,
38,CHEMBL195549,36,CHEMBL195549,500.78,2,6.07,43 (table 1),O=C(CCc1ccc(Cl)cc1)N/C(=C\c1ccc(Oc2ccccc2Br)cc1)C(=O)O,CC50,'>',100000,nM,,,,UO_0000065,,,,,0,CHEMBL839075,Cytotoxic concentration against RNA dependent RNA polymerase Nonstructural protein 5B (HCV NS5B polymerase) in Hepatitis C virus,B,BAO_0000357,single protein format,Hepatitis C virus,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1145278,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2005,None,
39,CHEMBL364684,37,CHEMBL364684,520.3,2,6.04,40 (table 1),O=C(Cc1ccc(C(F)(F)F)cc1)N/C(=C\c1ccc(Oc2ccccc2Br)cc1)C(=O)O,CC50,'=',18000,nM,,,,UO_0000065,,,,,0,CHEMBL839075,Cytotoxic concentration against RNA dependent RNA polymerase Nonstructural protein 5B (HCV NS5B polymerase) in Hepatitis C virus,B,BAO_0000357,single protein format,Hepatitis C virus,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1145278,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2005,None,
40,CHEMBL192831,38,CHEMBL192831,452.3,1,5.41,36 (table 1),Cc1ccc(C(=O)N/C(=C\c2ccc(Oc3ccccc3Br)cc2)C(=O)O)cc1,ED50,'>',100,uM,,Non standard unit for type,,UO_0000064,,,,,0,CHEMBL832552,Effective dose for RNA dependent RNA polymerase Nonstructural protein 5B (HCV NS5B polymerase) in Hepatitis C virus,B,BAO_0000357,single protein format,Hepatitis C virus,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1145278,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2005,None,
