Molecule_ChEMBL_ID,Smiles,IC50_StandardValue,bioactivity_class
CHEMBL194227,Cc1ccc(CCC(=O)N/C(=C\c2ccc(Oc3ccccc3Br)cc2)C(=O)O)cc1,2600,intermediate
CHEMBL365977,O=C(O)CCC(=O)N/C(=C\c1ccc(Oc2ccccc2I)cc1)C(=O)O,790,active
CHEMBL364684,O=C(Cc1ccc(C(F)(F)F)cc1)N/C(=C\c1ccc(Oc2ccccc2Br)cc1)C(=O)O,1000,active
CHEMBL193596,O=C(Nc1ccc(O)cc1)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccccc1,12000,inactive
CHEMBL195832,O=C(Nc1ccccc1C(=O)O)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccccc1,400,active
CHEMBL195227,O=C(CC1CCCCC1)N/C(=C\c1ccc(Oc2ccccc2Br)cc1)C(=O)O,2200,intermediate
CHEMBL192831,Cc1ccc(C(=O)N/C(=C\c2ccc(Oc3ccccc3Br)cc2)C(=O)O)cc1,250,active
CHEMBL194554,NC(=O)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccccc1,500,active
CHEMBL192269,O=C(O)/C(=C/c1ccc(Oc2ccccc2I)cc1)NC(=O)C1CC1,2800,intermediate
CHEMBL372277,O=C(NCc1ccccc1)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccccc1,100000,inactive
CHEMBL195300,O=C(Nc1ccccc1O)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccccc1,15000,inactive
CHEMBL191832,NNC(=O)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccccc1,1000,active
CHEMBL195149,CONC(=O)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccccc1,800,active
CHEMBL426277,O=C(CCc1ccc(C(F)(F)F)cc1)N/C(=C\c1ccc(Oc2ccccc2Br)cc1)C(=O)O,370,active
CHEMBL426088,O=C(Cc1ccc(Br)cc1)N/C(=C\c1ccc(Oc2ccccc2Br)cc1)C(=O)O,820,active
CHEMBL191661,O=C(NCCO)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccccc1,2700,intermediate
CHEMBL195802,O=C(CCc1ccc(F)cc1)N/C(=C\c1ccc(Oc2ccccc2Br)cc1)C(=O)O,600,active
CHEMBL427171,O=C(Cc1ccc(Cl)cc1)N/C(=C\c1ccc(Oc2ccccc2Br)cc1)C(=O)O,940,active
CHEMBL192215,O=C(Cc1ccc(I)cc1)N/C(=C\c1ccc(Oc2ccccc2Br)cc1)C(=O)O,1000,active
CHEMBL365748,O=C(Nc1cccc(O)c1)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccccc1,1900,intermediate
CHEMBL372685,O=C(CCC1CCCC1)N/C(=C\c1ccc(Oc2ccccc2C(F)(F)F)cc1)C(=O)O,6300,intermediate
CHEMBL365105,O=C(O)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccc(Br)cc1,120,active
CHEMBL371601,O=C(CCC1CCCCC1)N/C(=C\c1ccc(Oc2ccccc2Br)cc1)C(=O)O,13000,inactive
CHEMBL192112,Nc1ccc(Oc2ccc(/C=C(\NC(=O)CCC3CCCC3)C(=O)O)cc2)c(C(F)(F)F)c1,14000,inactive
CHEMBL371345,O=C(O)CNC(=O)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccccc1,60,active
CHEMBL195549,O=C(CCc1ccc(Cl)cc1)N/C(=C\c1ccc(Oc2ccccc2Br)cc1)C(=O)O,500,active
CHEMBL191977,O=C(O)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)C1CCCCC1,200,active
CHEMBL366197,O=C(O)/C(=C/c1ccc(Oc2c(F)cccc2Br)cc1)NC(=O)c1ccccc1,30,active
CHEMBL192821,O=C(O)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccc(F)cc1F,230,active
CHEMBL193333,O=C(Nc1ccccc1)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccccc1,100000,inactive
CHEMBL195211,O=C(CO)N/C(=C\c1ccc(Oc2ccccc2I)cc1)C(=O)O,2000,intermediate
CHEMBL194448,O=C(O)CCCC(=O)N/C(=C\c1ccc(Oc2ccccc2I)cc1)C(=O)O,830,active
CHEMBL192804,O=C(O)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1cccc(F)c1,90,active
CHEMBL192222,O=C(Cc1ccc(F)cc1)N/C(=C\c1ccc(Oc2ccccc2Br)cc1)C(=O)O,2200,intermediate
CHEMBL191820,O=C(O)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)C12CC3CC(CC(C3)C1)C2,70,active
CHEMBL189927,O=C(O)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccccc1F,180,active
CHEMBL192842,O=C(CCC1CCCC1)N/C(=C\c1ccc(Oc2ccccc2I)cc1)C(=O)O,7000,intermediate
CHEMBL192358,O=C(O)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)C1CC2CCC1C2,100,active
CHEMBL193049,O=C(O)/C(=C/c1ccc(-c2ccccc2)o1)NC(=O)c1ccccc1,6700,intermediate
CHEMBL363426,O=C(O)/C(=C/c1ccc(Oc2ccccc2I)cc1)NC(=O)C(O)c1ccccc1,3100,intermediate
CHEMBL192896,O=C(O)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccccc1O,80,active
CHEMBL191749,O=C(CCC1CCCC1)N/C(=C\c1ccc(Oc2ccccc2Br)cc1)C(=O)O,6000,intermediate
CHEMBL188442,O=C(O)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccccc1,100,active
CHEMBL190800,O=C(O)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccc(Cl)cc1,110,active
CHEMBL192137,CC(O)C(=O)N/C(=C\c1ccc(Oc2ccccc2I)cc1)C(=O)O,4800,intermediate
CHEMBL192674,CCc1ccccc1Oc1ccc(/C=C(\NC(=O)CCC2CCCC2)C(=O)O)cc1,7100,intermediate
CHEMBL193835,O=C(CC1CCCC1)N/C(=C\c1ccc(Oc2ccccc2Br)cc1)C(=O)O,850,active
CHEMBL365135,CCc1ccccc1C(=O)N/C(=C\c1ccc(Oc2ccccc2Br)cc1)C(=O)O,50,active
CHEMBL371821,O=C(O)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccc(F)c(F)c1,230,active
CHEMBL210597,O=C(O)[C@@H]1CCCN1S(=O)(=O)c1cc(Cl)c(Cl)c(Cl)c1O,80,active
CHEMBL379117,CC(=O)Nc1cc(C)c(Cl)cc1S(=O)(=O)N1CCC[C@H]1C(=O)O,20000,inactive
CHEMBL382995,O=C(O)[C@H]1CSCN1S(=O)(=O)c1cc(Cl)cc(Cl)c1O,1700,intermediate
CHEMBL426503,N#C[C@@H]1CCCN1S(=O)(=O)c1cc(Cl)cc(Cl)c1O,1400,intermediate
CHEMBL209167,O=C(O)[C@H]1CCCCN1S(=O)(=O)c1cc(Cl)cc(Cl)c1O,7100,intermediate
CHEMBL379608,COC(=O)[C@@H]1CCCN1S(=O)(=O)c1cc(Cl)cc(Cl)c1O,20000,inactive
CHEMBL210596,O=C(O)[C@@H]1CCCN1S(=O)(=O)c1cc(Cl)cc(Br)c1O,260,active
CHEMBL208084,Cc1cc(NC(=O)c2ccccc2)c(S(=O)(=O)N2CCC[C@H]2C(=O)O)cc1Cl,20000,inactive
CHEMBL210593,Cc1cc(S(=O)(=O)N2CCC[C@H]2C(=O)O)c(N)cc1Cl,3100,intermediate
CHEMBL207500,O=C(O)[C@@H]1CCCN1S(=O)(=O)c1cc(F)cc(Cl)c1O,2100,intermediate
CHEMBL378114,O=S(=O)(c1cc(Cl)cc(Cl)c1O)N1CCC[C@H]1c1nn[nH]n1,560,active
CHEMBL379855,O=S(=O)(c1cc(Cl)cc(Cl)c1O)N1CCCC1,4800,intermediate
CHEMBL380182,O=C(O)[C@H]1CCCN1S(=O)(=O)c1cc(Cl)cc(Cl)c1O,7900,intermediate
CHEMBL208442,Cc1cc(N)c(S(=O)(=O)N2CCC[C@H]2C(=O)O)cc1Cl,5950,intermediate
CHEMBL208803,O=C(O)[C@@H]1CCCCN1S(=O)(=O)c1cc(Cl)cc(Cl)c1O,2000,intermediate
CHEMBL206946,O=C(O)[C@@H]1CCCN1S(=O)(=O)c1cc(Cl)cc(Cl)c1,20000,inactive
CHEMBL207979,O=C(O)[C@@H]1CCCN1S(=O)(=O)c1cc(Cl)cc(Cl)c1O,770,active
CHEMBL207911,O=C(O)[C@@H]1CSCN1S(=O)(=O)c1cc(Cl)cc(Cl)c1O,240,active
CHEMBL208343,Nc1ccccc1S(=O)(=O)N1CCC[C@H]1C(=O)O,20000,inactive
